name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210863607002880,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,234.60.237.79,160,tcp,0000000000000001
blocked,1653210863607394816,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,196.26.226.118,160,tcp,0000000000000001
blocked,1653210863607780096,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,115.82.231.71,160,tcp,0000000000000001
blocked,1653210863608139008,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,93.178.44.149,160,tcp,0000000000000001
blocked,1653210863608488192,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,125.245.88.185,160,tcp,0000000000000001
blocked,1653210863608823040,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,180.139.127.129,160,tcp,0000000000000001
blocked,1653210863609165824,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,96.54.154.30,160,tcp,0000000000000001
blocked,1653210863609509888,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,240.120.26.144,160,tcp,0000000000000001
blocked,1653210863609848064,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,56.21.54.217,160,tcp,0000000000000001
blocked,1653210863610193920,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,139.2.44.241,160,tcp,0000000000000001
blocked,1653210863610532096,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,228.56.8.227,160,tcp,0000000000000001
blocked,1653210863610884864,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,96.240.41.23,160,tcp,0000000000000001
blocked,1653210863611244800,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,157.105.115.205,160,tcp,0000000000000001
blocked,1653210863611599872,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,33.187.22.33,160,tcp,0000000000000001
